plane,series,angle_deg,total_energy_ev,relative_energy_microev
103,SW+ED,0.0,122.04008692393712,0.0
103,SW+ED,15.0,122.04020267127206,115.74733493091571
103,SW+ED,30.0,122.04006162294145,-25.30099567366051
103,SW+ED,45.0,122.04006188947439,-25.034462737494323
103,SW+ED,60.0,122.04007448388876,-12.440048365647272
103,SW+ED,75.0,122.04021558049938,128.6565622535818
103,SW+ED,90.0,122.04006102110215,-25.9028349773871
103,SW+ED,105.0,122.0402155925661,128.66862897453757
103,SW+ED,120.0,122.0400744894435,-12.434493626756193
103,SW+ED,135.0,122.04006196210861,-24.96182851530193
103,SW+ED,150.0,122.0400616277359,-25.29620122970755
103,SW+ED,165.0,122.04020267764787,115.75371074457053
103,SW+ED,180.0,122.04008692132075,-0.002616374672470556
