plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
111,fit_ahc_model,SW+ED,0.0000000000,-675.8902000000,375.6223000000,375.5953000000,-858.5453383489,0.0190918831,43.4902946674
111,fit_ahc_model,SW+ED,5.0000000000,-674.7697000000,335.7587000000,415.6412000000,-859.3640835843,18.4833924358,44.2424665981
111,fit_ahc_model,SW+ED,10.0000000000,-667.1626000000,279.9990000000,444.4152000000,-847.8964129462,31.4537095253,33.0542266715
111,fit_ahc_model,SW+ED,15.0000000000,-654.6006000000,220.4892000000,479.1193000000,-839.4817236531,35.6080763469,25.9853231807
111,fit_ahc_model,SW+ED,20.0000000000,-636.5628000000,159.7367000000,512.7000000000,-831.7343166483,37.1261266474,20.7118058219
111,fit_ahc_model,SW+ED,25.0000000000,-614.0347000000,98.0862500000,545.5926000000,-826.2753552762,36.1513827042,17.1150579824
111,fit_ahc_model,SW+ED,30.0000000000,-580.6446000000,0.0000442167,580.6446000000,-821.1554682387,0.0000361028,0.0000255285
111,fit_ahc_model,SW+ED,35.0000000000,-545.5926000000,-98.0862500000,614.0347000000,-826.2753552762,-36.1513827042,-17.1150579824
111,fit_ahc_model,SW+ED,40.0000000000,-512.7136000000,-159.7273000000,636.6370000000,-831.7984206963,-37.1321514045,-20.6713913030
111,fit_ahc_model,SW+ED,45.0000000000,-479.1194000000,-220.4892000000,654.6005000000,-839.4817025206,-35.6079974794,-25.9854386507
111,fit_ahc_model,SW+ED,50.0000000000,-444.4152000000,-279.9990000000,667.1627000000,-847.8964933554,-31.4537237036,-33.0541689365
111,fit_ahc_model,SW+ED,55.0000000000,-415.6413000000,-335.7588000000,674.7697000000,-859.3641649232,-18.4833995521,-44.2425820681
111,fit_ahc_model,SW+ED,60.0000000000,-375.5953000000,-375.6223000000,675.8902000000,-858.5453383489,-0.0190918831,-43.4902946674
111,fit_ahc_model,SW+ED,65.0000000000,-335.6142000000,-415.5330000000,674.6849000000,-859.1945734891,18.4427962005,-44.1455294879
111,fit_ahc_model,SW+ED,70.0000000000,-280.9604000000,-444.9705000000,667.3723000000,-848.6249502376,31.8737562152,-33.8088234734
111,fit_ahc_model,SW+ED,75.0000000000,-222.4393000000,-478.9897000000,654.5252000000,-839.7595375731,37.2049624269,-27.0799215560
111,fit_ahc_model,SW+ED,80.0000000000,-160.6446000000,-512.3518000000,637.2412000000,-832.1657583238,38.2283578969,-20.6432743449
111,fit_ahc_model,SW+ED,85.0000000000,-96.9993800000,-544.8865000000,615.8643000000,-827.0796456468,36.2293504215,-15.0235662177
111,fit_ahc_model,SW+ED,90.0000000000,-0.6688732000,-579.1801000000,582.1323000000,-821.1718731160,1.7513632840,1.3182793426
111,fit_ahc_model,SW+ED,95.0000000000,98.0172000000,-612.4331000000,547.4605000000,-826.3345785883,-34.6677789596,19.0783087053
111,fit_ahc_model,SW+ED,100.0000000000,161.5674000000,-635.8680000000,513.2350000000,-831.7954175884,-38.1233633905,22.4787863207
111,fit_ahc_model,SW+ED,105.0000000000,224.0703000000,-653.4202000000,480.5108000000,-840.1109298993,-37.3795701007,29.5377593870
111,fit_ahc_model,SW+ED,110.0000000000,281.7272000000,-665.9378000000,446.1033000000,-848.2801471024,-31.5501646137,35.7337670059
111,fit_ahc_model,SW+ED,115.0000000000,337.1066000000,-673.8125000000,416.7022000000,-859.5475129614,-18.7030842888,46.1858853392
111,fit_ahc_model,SW+ED,120.0000000000,376.4463000000,-674.8659000000,376.4463000000,-858.3928167876,-0.0000000000,45.0487362490
111,fit_ahc_model,SW+ED,125.0000000000,416.7022000000,-673.8126000000,337.1066000000,-859.5475943004,18.7030914050,46.1858276041
111,fit_ahc_model,SW+ED,130.0000000000,446.1033000000,-665.9378000000,281.7272000000,-848.2801471024,31.5501646137,35.7337670059
111,fit_ahc_model,SW+ED,135.0000000000,480.5108000000,-653.4202000000,224.0703000000,-840.1109298993,37.3795701007,29.5377593870
111,fit_ahc_model,SW+ED,140.0000000000,513.2351000000,-635.8681000000,161.5674000000,-831.7955568613,38.1233388330,22.4787863207
111,fit_ahc_model,SW+ED,145.0000000000,547.4607000000,-612.4330000000,98.0174000000,-826.3346525880,34.6678134662,19.0785973804
111,fit_ahc_model,SW+ED,150.0000000000,582.1323000000,-579.1801000000,-0.6689670000,-821.1718731160,-1.7514398714,1.3182251872
111,fit_ahc_model,SW+ED,155.0000000000,615.8643000000,-544.8866000000,-96.9994600000,-827.0797182233,-36.2293686603,-15.0236701408
111,fit_ahc_model,SW+ED,160.0000000000,637.2412000000,-512.3517000000,-160.6446000000,-832.1656957766,-38.2284103803,-20.6432166099
111,fit_ahc_model,SW+ED,165.0000000000,654.5283000000,-478.9877000000,-222.4295000000,-839.7587567818,-37.1990432182,-27.0713190370
111,fit_ahc_model,SW+ED,170.0000000000,667.3723000000,-444.9705000000,-280.9603000000,-848.6249223118,-31.8736794896,-33.8087657383
111,fit_ahc_model,SW+ED,175.0000000000,674.6850000000,-415.5330000000,-335.6142000000,-859.1946548281,-18.4428033167,-44.1454717528
111,fit_ahc_model,SW+ED,180.0000000000,675.8902000000,-375.6223000000,-375.5953000000,-858.5453383489,0.0190918831,-43.4902946674
