cutoff_shell,series,curve_index,point_index,k_path_fraction,energy_ev,source_pdf
1,DFT,0,0,0.00000000,-8.50769996,band_1.pdf
1,DFT,0,1,0.00804834,-8.48509993,band_1.pdf
1,DFT,0,2,0.01606884,-8.41769996,band_1.pdf
1,DFT,0,3,0.02411719,-8.30599997,band_1.pdf
1,DFT,0,4,0.03216554,-8.15109996,band_1.pdf
1,DFT,0,5,0.04018603,-7.95449998,band_1.pdf
1,DFT,0,6,0.04823438,-7.71859997,band_1.pdf
1,DFT,0,7,0.05628272,-7.44629997,band_1.pdf
1,DFT,0,8,0.06430322,-7.14119998,band_1.pdf
1,DFT,0,9,0.07235157,-6.80849996,band_1.pdf
1,DFT,0,10,0.08842041,-6.08909996,band_1.pdf
1,DFT,0,11,0.10451710,-5.36899995,band_1.pdf
1,DFT,0,12,0.11253760,-5.04529994,band_1.pdf
1,DFT,0,13,0.12058594,-4.76800000,band_1.pdf
1,DFT,0,14,0.12863429,-4.55019996,band_1.pdf
1,DFT,0,15,0.13665478,-4.39800000,band_1.pdf
1,DFT,0,16,0.14470313,-4.31039996,band_1.pdf
1,DFT,0,17,0.15275148,-4.27840000,band_1.pdf
1,DFT,0,18,0.16079982,-4.29120000,band_1.pdf
1,DFT,0,19,0.16882032,-4.33699999,band_1.pdf
1,DFT,0,20,0.17686866,-4.40470000,band_1.pdf
1,DFT,0,21,0.20903420,-4.72509995,band_1.pdf
1,DFT,0,22,0.21705470,-4.78769995,band_1.pdf
1,DFT,0,23,0.22510304,-4.83450000,band_1.pdf
1,DFT,0,24,0.23315139,-4.86279997,band_1.pdf
1,DFT,0,25,0.24117188,-4.87239998,band_1.pdf
1,DFT,0,26,0.24685307,-4.86759995,band_1.pdf
1,DFT,0,27,0.25256210,-4.85309995,band_1.pdf
1,DFT,0,28,0.25824329,-4.82979997,band_1.pdf
1,DFT,0,29,0.26392447,-4.79779996,band_1.pdf
1,DFT,0,30,0.27528684,-4.71100000,band_1.pdf
1,DFT,0,31,0.28664922,-4.60159996,band_1.pdf
1,DFT,0,32,0.30372062,-4.42650000,band_1.pdf
1,DFT,0,33,0.30940180,-4.37549999,band_1.pdf
1,DFT,0,34,0.31508299,-4.33359999,band_1.pdf
1,DFT,0,35,0.32076417,-4.30419995,band_1.pdf
1,DFT,0,36,0.32644536,-4.29029996,band_1.pdf
1,DFT,0,37,0.33212655,-4.29419996,band_1.pdf
1,DFT,0,38,0.33780773,-4.31649995,band_1.pdf
1,DFT,0,39,0.34348892,-4.35629997,band_1.pdf
1,DFT,0,40,0.34919795,-4.41089995,band_1.pdf
1,DFT,0,41,0.36056032,-4.55000000,band_1.pdf
1,DFT,0,42,0.37760388,-4.77239999,band_1.pdf
1,DFT,0,43,0.38328506,-4.83679994,band_1.pdf
1,DFT,0,44,0.38896625,-4.89219995,band_1.pdf
1,DFT,0,45,0.39467528,-4.93689995,band_1.pdf
1,DFT,0,46,0.40035647,-4.96969999,band_1.pdf
1,DFT,0,47,0.40603765,-4.98969997,band_1.pdf
1,DFT,0,48,0.41171884,-4.99649998,band_1.pdf
1,DFT,0,49,0.42876239,-5.00049999,band_1.pdf
1,DFT,0,50,0.44015261,-5.01949999,band_1.pdf
1,DFT,0,51,0.44583380,-5.04190000,band_1.pdf
1,DFT,0,52,0.45151498,-5.07849997,band_1.pdf
1,DFT,0,53,0.45719617,-5.13449998,band_1.pdf
1,DFT,0,54,0.46287735,-5.21559998,band_1.pdf
1,DFT,0,55,0.46855854,-5.32609996,band_1.pdf
1,DFT,0,56,0.47423972,-5.46849995,band_1.pdf
1,DFT,0,57,0.47992091,-5.64179995,band_1.pdf
1,DFT,0,58,0.48562994,-5.84139996,band_1.pdf
1,DFT,0,59,0.49699231,-6.29279999,band_1.pdf
1,DFT,0,60,0.51403587,-6.99929999,band_1.pdf
1,DFT,0,61,0.52539824,-7.43189998,band_1.pdf
1,DFT,0,62,0.53110727,-7.62729995,band_1.pdf
1,DFT,0,63,0.53678846,-7.80599994,band_1.pdf
1,DFT,0,64,0.54246965,-7.96649994,band_1.pdf
1,DFT,0,65,0.54815083,-8.10769998,band_1.pdf
1,DFT,0,66,0.55383202,-8.22859994,band_1.pdf
1,DFT,0,67,0.55951320,-8.32839997,band_1.pdf
1,DFT,0,68,0.56519439,-8.40649995,band_1.pdf
1,DFT,0,69,0.57087557,-8.46259998,band_1.pdf
1,DFT,0,70,0.57658460,-8.49639994,band_1.pdf
1,DFT,0,71,0.58226579,-8.50769996,band_1.pdf
1,DFT,0,72,0.58922803,-8.49079994,band_1.pdf
1,DFT,0,73,0.59619027,-8.44019997,band_1.pdf
1,DFT,0,74,0.60315250,-8.35619996,band_1.pdf
1,DFT,0,75,0.61011474,-8.23969993,band_1.pdf
1,DFT,0,76,0.61707697,-8.09119995,band_1.pdf
1,DFT,0,77,0.62403921,-7.91229995,band_1.pdf
1,DFT,0,78,0.63100145,-7.70439995,band_1.pdf
1,DFT,0,79,0.63796368,-7.46929997,band_1.pdf
1,DFT,0,80,0.64492592,-7.20929997,band_1.pdf
1,DFT,0,81,0.65188816,-6.92699996,band_1.pdf
1,DFT,0,82,0.66581263,-6.30779998,band_1.pdf
1,DFT,0,83,0.70062382,-4.65649997,band_1.pdf
