scan,parameter_value,phi_deg,sigma_axis,source_pdf
first_nn,0,0,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,15,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,30,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,45,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,60,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,75,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,90,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,105,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,120,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,135,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,150,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,165,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0,180,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.05,0,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.05,15,0.00337210,sigma_axis_model_1st_nn.pdf
first_nn,0.05,30,0.02473593,sigma_axis_model_1st_nn.pdf
first_nn,0.05,45,0.07167817,sigma_axis_model_1st_nn.pdf
first_nn,0.05,60,0.13501111,sigma_axis_model_1st_nn.pdf
first_nn,0.05,75,0.19088525,sigma_axis_model_1st_nn.pdf
first_nn,0.05,90,0.21329435,sigma_axis_model_1st_nn.pdf
first_nn,0.05,105,0.19088525,sigma_axis_model_1st_nn.pdf
first_nn,0.05,120,0.13501111,sigma_axis_model_1st_nn.pdf
first_nn,0.05,135,0.07167817,sigma_axis_model_1st_nn.pdf
first_nn,0.05,150,0.02473593,sigma_axis_model_1st_nn.pdf
first_nn,0.05,165,0.00337210,sigma_axis_model_1st_nn.pdf
first_nn,0.05,180,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.1,0,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.1,15,0.03453338,sigma_axis_model_1st_nn.pdf
first_nn,0.1,30,0.26144760,sigma_axis_model_1st_nn.pdf
first_nn,0.1,45,0.79462121,sigma_axis_model_1st_nn.pdf
first_nn,0.1,60,1.57999282,sigma_axis_model_1st_nn.pdf
first_nn,0.1,75,2.33612413,sigma_axis_model_1st_nn.pdf
first_nn,0.1,90,2.65692862,sigma_axis_model_1st_nn.pdf
first_nn,0.1,105,2.33612413,sigma_axis_model_1st_nn.pdf
first_nn,0.1,120,1.57999282,sigma_axis_model_1st_nn.pdf
first_nn,0.1,135,0.79462121,sigma_axis_model_1st_nn.pdf
first_nn,0.1,150,0.26144760,sigma_axis_model_1st_nn.pdf
first_nn,0.1,165,0.03453338,sigma_axis_model_1st_nn.pdf
first_nn,0.1,180,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.15,0,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.15,15,0.10554327,sigma_axis_model_1st_nn.pdf
first_nn,0.15,30,0.81999945,sigma_axis_model_1st_nn.pdf
first_nn,0.15,45,2.60057810,sigma_axis_model_1st_nn.pdf
first_nn,0.15,60,5.46181231,sigma_axis_model_1st_nn.pdf
first_nn,0.15,75,8.50717018,sigma_axis_model_1st_nn.pdf
first_nn,0.15,90,9.89770468,sigma_axis_model_1st_nn.pdf
first_nn,0.15,105,8.50717018,sigma_axis_model_1st_nn.pdf
first_nn,0.15,120,5.46181231,sigma_axis_model_1st_nn.pdf
first_nn,0.15,135,2.60057810,sigma_axis_model_1st_nn.pdf
first_nn,0.15,150,0.81999945,sigma_axis_model_1st_nn.pdf
first_nn,0.15,165,0.10554327,sigma_axis_model_1st_nn.pdf
first_nn,0.15,180,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.2,0,0.00000000,sigma_axis_model_1st_nn.pdf
first_nn,0.2,15,0.13646623,sigma_axis_model_1st_nn.pdf
first_nn,0.2,30,1.66772202,sigma_axis_model_1st_nn.pdf
first_nn,0.2,45,5.54315216,sigma_axis_model_1st_nn.pdf
first_nn,0.2,60,11.96757987,sigma_axis_model_1st_nn.pdf
first_nn,0.2,75,19.23229617,sigma_axis_model_1st_nn.pdf
first_nn,0.2,90,23.19100613,sigma_axis_model_1st_nn.pdf
first_nn,0.2,105,19.23229617,sigma_axis_model_1st_nn.pdf
first_nn,0.2,120,11.96757987,sigma_axis_model_1st_nn.pdf
first_nn,0.2,135,5.54315216,sigma_axis_model_1st_nn.pdf
first_nn,0.2,150,1.66772202,sigma_axis_model_1st_nn.pdf
first_nn,0.2,165,0.13646623,sigma_axis_model_1st_nn.pdf
first_nn,0.2,180,0.00000000,sigma_axis_model_1st_nn.pdf
second_nn,0,0,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0,15,0.67255984,sigma_axis_model_2nd_nn.pdf
second_nn,0,30,2.16820896,sigma_axis_model_2nd_nn.pdf
second_nn,0,45,5.95352260,sigma_axis_model_2nd_nn.pdf
second_nn,0,60,12.22856132,sigma_axis_model_2nd_nn.pdf
second_nn,0,75,19.32434911,sigma_axis_model_2nd_nn.pdf
second_nn,0,90,23.19100613,sigma_axis_model_2nd_nn.pdf
second_nn,0,105,19.32434911,sigma_axis_model_2nd_nn.pdf
second_nn,0,120,12.22856132,sigma_axis_model_2nd_nn.pdf
second_nn,0,135,5.95352260,sigma_axis_model_2nd_nn.pdf
second_nn,0,150,2.16820896,sigma_axis_model_2nd_nn.pdf
second_nn,0,165,0.67255984,sigma_axis_model_2nd_nn.pdf
second_nn,0,180,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,0,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,15,2.71549121,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,30,1.82751587,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,45,2.80181359,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,60,8.18061262,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,75,10.51118859,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,90,10.51903398,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,105,10.51118859,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,120,8.18061262,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,135,2.80181359,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,150,1.82751587,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,165,2.71549121,sigma_axis_model_2nd_nn.pdf
second_nn,0.1,180,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,0,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,15,2.44564310,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,30,2.53762401,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,45,4.24124258,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,60,6.81302195,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,75,8.42358959,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,90,9.29566262,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,105,8.42358959,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,120,6.81302195,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,135,4.24124258,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,150,2.53762401,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,165,2.44564310,sigma_axis_model_2nd_nn.pdf
second_nn,0.11,180,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,0,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,15,0.57710744,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,30,3.25625317,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,45,3.46782876,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,60,5.92942610,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,75,6.82511069,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,90,5.37239451,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,105,6.82511069,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,120,5.92942610,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,135,3.46782876,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,150,3.25625317,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,165,0.57710744,sigma_axis_model_2nd_nn.pdf
second_nn,0.12,180,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,0,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,15,0.00000000,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,30,3.93230581,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,45,2.71035680,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,60,5.41549638,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,75,3.85280058,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,90,0.71279046,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,105,3.85280058,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,120,5.41549638,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,135,2.71035680,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,150,3.93230581,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,165,0.00000000,sigma_axis_model_2nd_nn.pdf
second_nn,0.13,180,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,0,0.53926692,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,15,0.32546874,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,30,2.49353467,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,45,6.33259002,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,60,4.58123185,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,75,2.56428483,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,90,0.06269622,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,105,2.56428483,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,120,4.58123185,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,135,6.33259002,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,150,2.49353467,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,165,0.32546874,sigma_axis_model_2nd_nn.pdf
second_nn,0.14,180,0.53926692,sigma_axis_model_2nd_nn.pdf
