index,name,coefficient_ev,abs_coefficient_ev,source_pdf
1,"Q(0,A1g,,)",37.25866679,37.25866679,bar_ed_all_35.pdf
2,"Q(0,A1g,,)",80.00000000,80.00000000,bar_ed_all_35.pdf
4,"Q(0,A1g,,)",52.83532649,52.83532649,bar_ed_all_35.pdf
9,"Q(0,A1g,,)",-5.48466927,5.48466927,bar_ed_all_35.pdf
12,"Q(0,A1g,,)",16.53312637,16.53312637,bar_ed_all_35.pdf
14,"Q(0,A1g,,)",-5.27402681,5.27402681,bar_ed_all_35.pdf
20,"Q(0,A1g,,)",8.75439692,8.75439692,bar_ed_all_35.pdf
22,"Q(0,A1g,,)",17.10368891,17.10368891,bar_ed_all_35.pdf
37,"Q(4,A1g,,)",5.63927743,5.63927743,bar_ed_all_35.pdf
38,"Q(0,A1g,,)",-6.25619434,6.25619434,bar_ed_all_35.pdf
45,"Q(0,A1g,,)",-2.87728353,2.87728353,bar_ed_all_35.pdf
48,"Q(4,A1g,,)",2.54614377,2.54614377,bar_ed_all_35.pdf
66,"Q(0,A1g,,)",4.16291207,4.16291207,bar_ed_all_35.pdf
68,"Q(0,A1g,,)",-1.95659499,1.95659499,bar_ed_all_35.pdf
72,"Q(0,A1g,,)",5.13533231,5.13533231,bar_ed_all_35.pdf
74,"Q(0,A1g,,)",6.57019292,6.57019292,bar_ed_all_35.pdf
85,"Q(4,A1g,,)",-3.29487276,3.29487276,bar_ed_all_35.pdf
90,"Q(0,A1g,,)",-2.79970750,2.79970750,bar_ed_all_35.pdf
350,"Q(0,A1g,,)",2.37798408,2.37798408,bar_ed_all_35.pdf
86428,"M(1,T1g,,0|1,-1)",-0.90830134,0.90830134,bar_ed_wo_q_35.pdf
86449,"M(1,T1g,,0|1,-1)",-1.18730893,1.18730893,bar_ed_wo_q_35.pdf
86479,"M(1,T1g,,0|1,-1)",-3.80923944,3.80923944,bar_ed_all_35.pdf
86566,"M(1,T1g,,0|1,1)",0.25000009,0.25000009,bar_ed_wo_q_35.pdf
86572,"M(1,T1g,,0|1,-1)",0.38190722,0.38190722,bar_ed_wo_q_35.pdf
86581,"M(1,T1g,,0|1,0)",-0.32280974,0.32280974,bar_ed_wo_q_35.pdf
86672,"T(4,T1g,,0|1,0)",-0.31346103,0.31346103,bar_ed_wo_q_35.pdf
86677,"M(1,T1g,,0|1,0)",-0.39693668,0.39693668,bar_ed_wo_q_35.pdf
86691,"M(5,T1g,1,0|1,-1)",-0.31916581,0.31916581,bar_ed_wo_q_35.pdf
86701,"M(1,T1g,,0|1,-1)",0.45008393,0.45008393,bar_ed_wo_q_35.pdf
86714,"M(3,T1g,,0|1,1)",-0.27357011,0.27357011,bar_ed_wo_q_35.pdf
86719,"M(1,T1g,,0|1,1)",0.33547274,0.33547274,bar_ed_wo_q_35.pdf
87088,"M(1,T1g,,0|1,-1)",-0.23894073,0.23894073,bar_ed_wo_q_35.pdf
87115,"M(1,T1g,,0|1,0)",-0.21284045,0.21284045,bar_ed_wo_q_35.pdf
87119,"T(4,T1g,,0|1,0)",0.24103647,0.24103647,bar_ed_wo_q_35.pdf
87132,"M(5,T1g,1,0|1,-1)",0.24541941,0.24541941,bar_ed_wo_q_35.pdf
87149,"M(3,T1g,,0|1,1)",0.21035883,0.21035883,bar_ed_wo_q_35.pdf
87160,"M(1,T1g,,0|1,-1)",0.27474223,0.27474223,bar_ed_wo_q_35.pdf
87400,"M(1,T1g,,0|1,-1)",-0.23642489,0.23642489,bar_ed_wo_q_35.pdf
89569,"M(1,T1g,,0|1,-1)",0.26913569,0.26913569,bar_ed_wo_q_35.pdf
