plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,fit_ahc_model,SW+ED,0.0000000000,-0.2453629000,-1.2723920000,792.6208000000,-792.6208000000,-1.1295064772,-0.6351373648
103,fit_ahc_model,SW+ED,5.0000000000,27.7865200000,-77.2104500000,791.8306000000,-795.9672784980,-12.7103809716,1.9445193183
103,fit_ahc_model,SW+ED,10.0000000000,75.0170000000,-144.3894000000,794.0419000000,-809.8842757591,-20.3769130074,25.5074375713
103,fit_ahc_model,SW+ED,15.0000000000,89.2613700000,-213.6016000000,782.6697000000,-815.7537033762,-20.4307607269,17.1340140945
103,fit_ahc_model,SW+ED,20.0000000000,114.0695000000,-275.7169000000,761.8581000000,-817.7112968368,-19.1192586122,21.0264901269
103,fit_ahc_model,SW+ED,25.0000000000,135.1535000000,-331.3005000000,742.7557000000,-824.0562820773,-9.6846865686,23.4514511278
103,fit_ahc_model,SW+ED,30.0000000000,157.3076000000,-390.1289000000,714.3798000000,-828.5979559716,-6.4141587905,25.8655022708
103,fit_ahc_model,SW+ED,35.0000000000,183.8066000000,-446.6792000000,680.1881000000,-833.5735452315,-4.5946337308,33.1218859493
103,fit_ahc_model,SW+ED,40.0000000000,218.8026000000,-509.1817000000,632.9633000000,-839.8533827509,-16.1821988076,46.5569807024
103,fit_ahc_model,SW+ED,45.0000000000,242.1178000000,-559.4974000000,587.1460000000,-844.6363699731,-14.2865336800,52.7645001265
103,fit_ahc_model,SW+ED,50.0000000000,260.4165000000,-603.2365000000,538.1352000000,-847.3833241445,-8.5534220292,56.2926533120
103,fit_ahc_model,SW+ED,55.0000000000,274.6277000000,-643.3751000000,485.4603000000,-849.5647656155,-2.2340549888,57.0816415882
103,fit_ahc_model,SW+ED,60.0000000000,267.1958000000,-681.0642000000,419.5900000000,-842.5209216391,-1.9288820077,38.1127822892
103,fit_ahc_model,SW+ED,65.0000000000,273.3029000000,-707.6231000000,363.4027000000,-840.3228194685,9.1215488308,35.5078244439
103,fit_ahc_model,SW+ED,70.0000000000,272.1741000000,-730.1074000000,302.5752000000,-835.2345756413,17.9932781790,27.3267907776
103,fit_ahc_model,SW+ED,75.0000000000,265.8229000000,-745.9379000000,236.7566000000,-826.0193413993,23.7772530744,16.2954697651
103,fit_ahc_model,SW+ED,80.0000000000,261.7848000000,-760.0785000000,169.6595000000,-821.1060634639,27.4936182472,7.9929413911
103,fit_ahc_model,SW+ED,85.0000000000,266.6457000000,-763.0566000000,95.6895400000,-813.4841984022,24.8844131797,11.6626381246
103,fit_ahc_model,SW+ED,90.0000000000,273.2910000000,-763.8141000000,-0.2146270000,-811.0398818880,-0.2146270000,17.7273807124
103,fit_ahc_model,SW+ED,95.0000000000,269.0047000000,-764.9512000000,-93.7311700000,-815.8471936468,-22.7118272286,13.3014568992
103,fit_ahc_model,SW+ED,100.0000000000,265.6430000000,-761.1915000000,-166.3984000000,-822.7811570067,-23.8868463364,11.3011897880
103,fit_ahc_model,SW+ED,105.0000000000,267.8082000000,-747.2114000000,-232.9842000000,-826.8163689423,-19.6582143250,17.7761746567
103,fit_ahc_model,SW+ED,110.0000000000,273.4803000000,-731.3339000000,-301.8368000000,-836.4635631149,-16.7601744532,28.1781075465
103,fit_ahc_model,SW+ED,115.0000000000,274.4698000000,-708.0940000000,-364.1547000000,-841.3799409535,-9.4583451818,36.4659313293
103,fit_ahc_model,SW+ED,120.0000000000,265.2366000000,-680.6136000000,-418.7368000000,-841.1875669452,2.1442598156,36.3966142030
103,fit_ahc_model,SW+ED,125.0000000000,274.9137000000,-641.5784000000,-487.0262000000,-849.1407699318,0.0255590864,57.9211314386
103,fit_ahc_model,SW+ED,130.0000000000,264.2493000000,-602.5245000000,-538.5197000000,-848.0415164869,8.6037818782,60.1539208261
103,fit_ahc_model,SW+ED,135.0000000000,245.8966000000,-558.9197000000,-587.6599000000,-845.4571845742,14.3805839313,56.5320693536
103,fit_ahc_model,SW+ED,140.0000000000,223.6515000000,-508.7250000000,-633.4746000000,-840.9521875226,16.6962617491,51.3014723670
103,fit_ahc_model,SW+ED,145.0000000000,188.7139000000,-446.8874000000,-681.1137000000,-835.3351327842,5.4967071287,37.7115208769
103,fit_ahc_model,SW+ED,150.0000000000,161.3209000000,-390.3753000000,-715.1821000000,-830.0442043820,7.3145345178,29.5949344293
103,fit_ahc_model,SW+ED,155.0000000000,138.2328000000,-330.9783000000,-743.5635000000,-825.0707464022,9.9487946951,26.4746201937
103,fit_ahc_model,SW+ED,160.0000000000,114.2141000000,-274.7229000000,-760.2978000000,-815.9382118519,18.8097596588,21.4780001312
103,fit_ahc_model,SW+ED,165.0000000000,89.4924600000,-214.4351000000,-781.7385000000,-815.0778023294,21.5061441970,17.0896694749
103,fit_ahc_model,SW+ED,170.0000000000,69.7793900000,-146.5630000000,-792.0803000000,-808.0229398816,21.1171568652,19.8512517704
103,fit_ahc_model,SW+ED,175.0000000000,27.7223100000,-73.0011700000,-792.2632000000,-796.0484258989,8.6743716580,3.2146955747
103,fit_ahc_model,SW+ED,180.0000000000,0.2453429000,1.2724190000,-792.6208000000,-792.6208000000,-1.1295384162,0.6351269293
