plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,fit_ahc_dft,DFT,0.0,-0.149413,-0.146147,785.6033,-785.6033,-0.0913986788,-0.1879613569
103,fit_ahc_dft,DFT,15.0,84.57556,-224.4406,780.8222,-816.2470205442,-29.4100373183,9.2610716538
103,fit_ahc_dft,DFT,30.0,154.6583,-395.2149,716.5891,-832.5048764129,-8.7625434959,21.7438211913
103,fit_ahc_dft,DFT,45.0,235.096,-563.4509,590.3096,-847.9553391984,-13.1314968793,44.8528292713
103,fit_ahc_dft,DFT,60.0,271.6092,-680.0671,422.8223,-844.5265297636,0.6455181519,42.6150118623
103,fit_ahc_dft,DFT,75.0,271.864,-742.547,238.1451,-825.116703821,25.4565950611,23.0988571687
103,fit_ahc_dft,DFT,90.0,284.0084,-765.8722,3.151723,-816.3815064432,3.151723,27.2439707256
103,fit_ahc_dft,DFT,105.0,274.3072,-744.3644,-238.0379,-827.5006286104,-24.7068427324,24.8419678605
103,fit_ahc_dft,DFT,120.0,272.9046,-680.3883,-424.6039,-846.0359823924,-1.8312497496,43.7423638482
103,fit_ahc_dft,DFT,135.0,240.2438,-563.059,-591.3106,-849.5513416477,13.3118715527,49.8603908145
103,fit_ahc_dft,DFT,150.0,158.4016,-395.6972,-717.1864,-833.8427960621,9.8852883049,25.1425107294
103,fit_ahc_dft,DFT,165.0,83.44743,-224.3656,-779.8386,-815.1861879368,29.2512947001,8.2145506472
103,fit_ahc_dft,DFT,180.0,0.1482932,0.150867,-785.4436,-785.4436,-0.0962305758,0.1883916164
