scan,parameter_value,phi_deg,sigma_axis,source_tree,source_file
first_nn,0,0,0.00000000,1st_nn_t2_0,t_T_0.0/psi_0/sigma_ahc_eta1.00meV.txt
first_nn,0,15,-0.00000000,1st_nn_t2_0,t_T_0.0/psi_15/sigma_ahc_eta1.00meV.txt
first_nn,0,30,-0.00000000,1st_nn_t2_0,t_T_0.0/psi_30/sigma_ahc_eta1.00meV.txt
first_nn,0,45,0.00000000,1st_nn_t2_0,t_T_0.0/psi_45/sigma_ahc_eta1.00meV.txt
first_nn,0,60,0.00000000,1st_nn_t2_0,t_T_0.0/psi_60/sigma_ahc_eta1.00meV.txt
first_nn,0,75,0.00000000,1st_nn_t2_0,t_T_0.0/psi_75/sigma_ahc_eta1.00meV.txt
first_nn,0,90,0.00000000,1st_nn_t2_0,t_T_0.0/psi_90/sigma_ahc_eta1.00meV.txt
first_nn,0,105,0.00000000,1st_nn_t2_0,t_T_0.0/psi_105/sigma_ahc_eta1.00meV.txt
first_nn,0,120,0.00000000,1st_nn_t2_0,t_T_0.0/psi_120/sigma_ahc_eta1.00meV.txt
first_nn,0,135,0.00000000,1st_nn_t2_0,t_T_0.0/psi_135/sigma_ahc_eta1.00meV.txt
first_nn,0,150,0.00000000,1st_nn_t2_0,t_T_0.0/psi_150/sigma_ahc_eta1.00meV.txt
first_nn,0,165,-0.00000000,1st_nn_t2_0,t_T_0.0/psi_165/sigma_ahc_eta1.00meV.txt
first_nn,0,180,0.00000000,1st_nn_t2_0,t_T_0.0/psi_180/sigma_ahc_eta1.00meV.txt
first_nn,0.05,0,-0.00000000,1st_nn_t2_0,t_T_0.05/psi_0/sigma_ahc_eta1.00meV.txt
first_nn,0.05,15,0.00337213,1st_nn_t2_0,t_T_0.05/psi_15/sigma_ahc_eta1.00meV.txt
first_nn,0.05,30,0.02473594,1st_nn_t2_0,t_T_0.05/psi_30/sigma_ahc_eta1.00meV.txt
first_nn,0.05,45,0.07167815,1st_nn_t2_0,t_T_0.05/psi_45/sigma_ahc_eta1.00meV.txt
first_nn,0.05,60,0.13501110,1st_nn_t2_0,t_T_0.05/psi_60/sigma_ahc_eta1.00meV.txt
