plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,rank_cumulative,w_rank1,0.0,-0.1920328,-0.1888787,981.6632,-981.6632,-0.1184599647,-0.2419069994
103,rank_cumulative,w_rank1,15.0,159.5494,-474.3886,972.0724,-1068.4883779412,-231.8535690421,1.3470037921
103,rank_cumulative,w_rank1,30.0,248.1112,-653.0768,911.394,-1138.3017083587,-148.8083932198,28.8579339978
103,rank_cumulative,w_rank1,45.0,339.7535,-794.0441,815.1914,-1185.0595344841,-32.2048006742,71.2196790424
103,rank_cumulative,w_rank1,60.0,385.3863,-872.6639,657.9919,-1151.5048896574,94.9619431623,89.6489905269
103,rank_cumulative,w_rank1,75.0,482.5438,-932.3182,396.0275,-1104.2306614651,114.1201235401,162.956342035
103,rank_cumulative,w_rank1,90.0,538.2026,-958.957,2.39653,-1079.9410953111,2.39653,207.3349877712
103,rank_cumulative,w_rank1,105.0,485.588,-934.2617,-401.5238,-1108.3640084718,-118.702785018,165.2297350677
103,rank_cumulative,w_rank1,120.0,387.5991,-872.8917,-658.6273,-1152.6157466929,-95.0542862759,91.6762002438
103,rank_cumulative,w_rank1,135.0,341.629,-791.8406,-815.1253,-1183.9540165385,31.1927622451,73.6957424503
103,rank_cumulative,w_rank1,150.0,250.6742,-653.1177,-912.3809,-1139.5810352853,149.0504524561,31.2764755751
103,rank_cumulative,w_rank1,165.0,159.5647,-475.2067,-970.7384,-1067.4019591986,232.9531793057,1.1028127112
103,rank_cumulative,w_rank1,180.0,0.192032,0.1888803,-981.6632,-981.6632,-0.1184617356,0.2419067464
103,rank_cumulative,w_rank1_2,0.0,-0.1920328,-0.1888787,981.6632,-981.6632,-0.1184599647,-0.2419069994
103,rank_cumulative,w_rank1_2,15.0,159.5494,-474.3886,972.0724,-1068.4883779412,-231.8535690421,1.3470037921
103,rank_cumulative,w_rank1_2,30.0,248.1112,-653.0768,911.394,-1138.3017083587,-148.8083932198,28.8579339978
103,rank_cumulative,w_rank1_2,45.0,339.7535,-794.0441,815.1914,-1185.0595344841,-32.2048006742,71.2196790424
103,rank_cumulative,w_rank1_2,60.0,385.3863,-872.6639,657.9919,-1151.5048896574,94.9619431623,89.6489905269
103,rank_cumulative,w_rank1_2,75.0,482.5438,-932.3182,396.0275,-1104.2306614651,114.1201235401,162.956342035
103,rank_cumulative,w_rank1_2,90.0,538.2026,-958.957,2.39653,-1079.9410953111,2.39653,207.3349877712
103,rank_cumulative,w_rank1_2,105.0,485.588,-934.2617,-401.5238,-1108.3640084718,-118.702785018,165.2297350677
103,rank_cumulative,w_rank1_2,120.0,387.5991,-872.8917,-658.6273,-1152.6157466929,-95.0542862759,91.6762002438
103,rank_cumulative,w_rank1_2,135.0,341.629,-791.8406,-815.1253,-1183.9540165385,31.1927622451,73.6957424503
103,rank_cumulative,w_rank1_2,150.0,250.6742,-653.1177,-912.3809,-1139.5810352853,149.0504524561,31.2764755751
103,rank_cumulative,w_rank1_2,165.0,159.5647,-475.2067,-970.7384,-1067.4019591986,232.9531793057,1.1028127112
103,rank_cumulative,w_rank1_2,180.0,0.192032,0.1888803,-981.6632,-981.6632,-0.1184617356,0.2419067464
103,rank_cumulative,w_rank1_2_3,0.0,0.04929511,-2.564683,898.2619,-898.2619,-2.4486604094,-0.7642585281
103,rank_cumulative,w_rank1_2_3,15.0,110.2657,-192.1803,881.621,-907.7927068423,18.3934669193,43.8344809964
103,rank_cumulative,w_rank1_2_3,30.0,165.2468,-342.2428,803.3148,-884.1588513578,75.2215474866,48.5402031369
103,rank_cumulative,w_rank1_2_3,45.0,239.9758,-489.3175,675.7988,-859.7662921473,95.9575362482,72.9252534984
103,rank_cumulative,w_rank1_2_3,60.0,291.1462,-593.6033,490.5248,-812.6909470652,97.2019135923,88.4916917717
103,rank_cumulative,w_rank1_2_3,75.0,312.4803,-656.4008,274.7184,-768.0481898958,78.6115236096,88.8726829841
103,rank_cumulative,w_rank1_2_3,90.0,327.3439,-678.1242,-0.03896821,-746.8403327601,-0.03896821,96.1039898008
103,rank_cumulative,w_rank1_2_3,105.0,315.8943,-658.3835,-275.4371,-771.0938806134,-78.5394862323,91.484502972
103,rank_cumulative,w_rank1_2_3,120.0,293.1568,-594.0983,-491.7305,-814.2511065512,-97.6933775322,90.2425816665
103,rank_cumulative,w_rank1_2_3,135.0,245.7306,-488.7202,-676.0938,-860.8610200266,-95.2800013698,78.5736189866
103,rank_cumulative,w_rank1_2_3,150.0,170.0178,-341.2198,-804.8338,-885.743453775,-75.5149355902,53.3898721566
103,rank_cumulative,w_rank1_2_3,165.0,102.5211,-192.5704,-879.1814,-904.898155561,-19.7701887827,36.3639478748
103,rank_cumulative,w_rank1_2_3,180.0,-0.04929519,2.564683,-898.2619,-898.2619,-2.4486604347,0.7642584522
