plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,single_rank,w_rank1,0,-0.1920328000,-0.1888787000,981.6632000000,-981.6632000000,-0.1184599647,-0.2419069994
103,single_rank,w_rank1,15,159.5494000000,-474.3886000000,972.0724000000,-1068.4883779412,-231.8535690421,1.3470037921
103,single_rank,w_rank1,30,248.1112000000,-653.0768000000,911.3940000000,-1138.3017083587,-148.8083932198,28.8579339978
103,single_rank,w_rank1,45,339.7535000000,-794.0441000000,815.1914000000,-1185.0595344841,-32.2048006742,71.2196790424
103,single_rank,w_rank1,60,385.3863000000,-872.6639000000,657.9919000000,-1151.5048896574,94.9619431623,89.6489905269
103,single_rank,w_rank1,75,482.5438000000,-932.3182000000,396.0275000000,-1104.2306614651,114.1201235401,162.9563420350
103,single_rank,w_rank1,90,538.2026000000,-958.9570000000,2.3965300000,-1079.9410953111,2.3965300000,207.3349877712
103,single_rank,w_rank1,105,485.5880000000,-934.2617000000,-401.5238000000,-1108.3640084718,-118.7027850180,165.2297350677
103,single_rank,w_rank1,120,387.5991000000,-872.8917000000,-658.6273000000,-1152.6157466929,-95.0542862759,91.6762002438
103,single_rank,w_rank1,135,341.6290000000,-791.8406000000,-815.1253000000,-1183.9540165385,31.1927622451,73.6957424503
103,single_rank,w_rank1,150,250.6742000000,-653.1177000000,-912.3809000000,-1139.5810352853,149.0504524561,31.2764755751
103,single_rank,w_rank1,165,159.5647000000,-475.2067000000,-970.7384000000,-1067.4019591986,232.9531793057,1.1028127112
103,single_rank,w_rank1,180,0.1920320000,0.1888803000,-981.6632000000,-981.6632000000,-0.1184617356,0.2419067464
103,single_rank,w_rank3,0,0.0906670900,-0.1535307000,25.2910300000,-25.2910300000,-0.1743234621,0.0374636837
103,single_rank,w_rank3,15,3.6426440000,38.3659200000,26.1181300000,-16.1060466863,40.8041206632,15.5880846963
